"species","x","y","longitude","latitude"
"Phoebe sheareri",1385194.971,3079398.192,119.289991,28.28416482
"Phoebe sheareri",457519.4529,2988514.957,109.7044488,28.26749313
"Phoebe sheareri",343030.6485,2981593.185,108.5258451,28.24806288
"Phoebe sheareri",1434306.548,3081520.516,119.7925368,28.23882265
"Phoebe sheareri",1370193.666,3071248.988,119.1254464,28.23114099
"Phoebe sheareri",773489.3102,3000585.873,112.9522904,28.19518201
"Phoebe sheareri",798595.0547,3000639.512,113.209293,28.17739479
"Phoebe sheareri",429254.2917,2975903.689,109.4084526,28.16637113
"Phoebe sheareri",1394619.854,3064611.511,119.3639554,28.14110163
"Phoebe sheareri",343829.7628,2969028.968,108.5294628,28.13545005
"Phoebe sheareri",1415728.269,3065493.27,119.5795974,28.12146951
"Phoebe sheareri",439369.4927,2970428.932,109.5096425,28.11335956
"Phoebe sheareri",1484264.926,3073018.821,120.2864036,28.09614637
"Phoebe sheareri",1436954.461,3065704.264,119.7953138,28.0953345
"Phoebe sheareri",1271834.337,3042253.143,118.0844646,28.09433102
"Phoebe sheareri",1362545.484,3054127.666,119.022885,28.089128
"Phoebe sheareri",1357966.703,3051760.533,118.9729765,28.07390985
"Phoebe sheareri",310385.4902,2958876.748,108.1830605,28.05475204
"Phoebe sheareri",1439414.675,3057591.825,119.8079047,28.02025204
"Phoebe sheareri",1248676.577,3030448.498,117.833282,28.016543
"Phoebe sheareri",1427347.151,3054344.221,119.6806661,28.00748365
"Phoebe sheareri",1359289.913,3042547.517,118.9731583,27.99059007
"Phoebe sheareri",1415392.82,3048475.261,119.5506901,27.97120724
"Phoebe sheareri",370591.343,2951308.287,108.7969622,27.96809533
"Phoebe sheareri",1375298.742,3040765.332,119.1329326,27.95457301
"Phoebe sheareri",352925.9893,2948647.52,108.6151403,27.95019166
"Phoebe sheareri",1216407.996,3018389.867,117.4896705,27.94620327
"Phoebe sheareri",358165.1538,2947288.406,108.6682442,27.93631027
"Phoebe sheareri",1382805.967,3039115.099,119.2066225,27.93038618
"Phoebe sheareri",1193199.573,3013076.783,117.2471132,27.92482049
"Phoebe sheareri",1221198.882,3014837.352,117.533761,27.90925388
"Phoebe sheareri",-266547.4076,2940343.676,102.2714838,27.9005809
"Phoebe sheareri",867052.001,2974641.583,113.8855385,27.89283269
"Phoebe sheareri",365303.4081,2942392.422,108.7393963,27.89011577
